Designator,Mid X,Mid Y,Rotation,Layer
R49,115.4,-120.3,270.0,top
R5,169.42,-114.4,0.0,top
R50,128.4,-122.575,90.0,top
R51,136.4,-148.6,0.0,top
R52,124.5,-148.3,0.0,top
R53,120.2,-148.8,0.0,top
R54,107.8,-147.770711,0.0,top
R55,159.1,-122.6,270.0,top
R56,147.3,-122.6,270.0,top
R57,152.8,-122.6,90.0,top
R58,150.4,-122.6,270.0,top
R59,144.1,-122.6,270.0,top
R6,187.375,-114.4,180.0,top
R60,157.5,-122.6,90.0,top
R61,167.9,-147.6,0.0,top
R62,156.0,-148.0,0.0,top
R63,152.5,-148.0,0.0,top
R64,140.6,-148.2,0.0,top
R65,193.4,-56.8,0.0,top
R67,125.6,-95.5,270.0,top
R68,127.1,-95.5,90.0,top
R69,126.4,-103.5,180.0,top
R70,133.4,-97.9,0.0,top
R71,132.8,-92.5,0.0,top
R72,92.8,-56.4,90.0,top
R73,96.2,-59.6,180.0,top
R8,95.575,-37.5,180.0,top
R9,95.575,-39.1,180.0,top
SW1,196.5,-147.0,0.0,top
SW2,173.1,-118.5,270.0,top
SW3,185.65,-44.1,0.0,top
SW4,152.55,-33.4,0.0,top
SW6,165.3,-120.5,0.0,top
U1,181.54,-85.4,270.0,top
U11,80.8625,-39.75,180.0,top
U12,91.05,-42.4,0.0,top
U13,95.3,-53.85,90.0,top
U14,107.0,-49.3,270.0,top
U15,95.3,-56.85,90.0,top
U16,90.3,-58.55,90.0,top
U17,145.0,-50.8,225.0,top
U18,112.6,-59.625,180.0,top
U19,93.0,-139.9525,90.0,top
U2,190.4,-121.7,270.0,top
U20,122.8,-133.5,270.0,top
U21,153.5,-133.4475,270.0,top
U22,127.55,-99.85,0.0,top
U23,132.5,-95.3,90.0,top
U24,91.05,-38.9,180.0,top
U25,98.75,-57.3,90.0,top
U26,86.9,-58.55,270.0,top
U27,168.2,-127.3,180.0,top
U28,172.6805,-41.2757,0.0,top
U3,190.4,-118.5,270.0,top
U5,106.7375,-35.1,270.0,top
U6,177.1375,-118.1,0.0,top
U7,193.915,-52.1,270.0,top
U8,191.16,-144.69,90.0,top
U9,189.875,-115.3,180.0,top
VR1,176.1,-129.36,90.0,top
